id,title,current_price,original_price,discount_text,image_url,unit_size,category,url,scrape_date,store
215707,AH Groene asperges,"€0,00","€4,99",,https://static.ah.nl/dam/product/AHI_4354523130313036373035?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/215707,2025-03-06,Albert Heijn
217015,AH Hollandse snijbonen,"€0,00","€1,59",,https://static.ah.nl/dam/product/AHI_434d50313231323730?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/217015,2025-03-06,Albert Heijn
217120,AH Witlof los,"€0,00","€1,45",,https://static.ah.nl/dam/product/AHI_43545239383634373438?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/217120,2025-03-06,Albert Heijn
230739,Zespri Kiwi gold los,"€0,00","€3,99",,https://static.ah.nl/dam/product/AHI_4354523130303831333038?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/230739,2025-03-06,Albert Heijn
230741,AH Biologisch Gember los,"€0,00","€1,09",,https://static.ah.nl/dam/product/AHI_434d50303434303730?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/230741,2025-03-06,Albert Heijn
230804,AH Verse knoflook,"€0,00","€6,24",,https://static.ah.nl/dam/product/AHI_43545239383333393138?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/230804,2025-03-06,Albert Heijn
231202,AH Biologisch Flespompoen,"€0,00","€3,78",,https://static.ah.nl/dam/product/AHI_43545239353635393837?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/231202,2025-03-06,Albert Heijn
231530,AH Sperziebonen,"€0,00","€2,35",,https://static.ah.nl/dam/product/AHI_434d50303133303738?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/231530,2025-03-06,Albert Heijn
231922,AH Kiwi groen,"€0,00","€2,75",,https://static.ah.nl/dam/product/AHI_434d50313937363739?revLabel=6&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/231922,2025-03-06,Albert Heijn
234251,AH Buitenbeentjes Appels zak,"€0,00","€1,99",,https://static.ah.nl/dam/product/AHI_43545236313735363035?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/234251,2025-03-06,Albert Heijn
257709,AH Biologisch Pompoen,"€0,00","€3,40",,https://static.ah.nl/dam/product/AHI_434d50363435313133?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/257709,2025-03-06,Albert Heijn
314134,Sera Roasted red peppers,"€0,00","€3,99",,https://static.ah.nl/dam/product/AHI_43545239393439323832?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/314134,2025-03-06,Albert Heijn
354172,AH Trostomaten,"€0,00","€1,35",,https://static.ah.nl/dam/product/AHI_43545239373537383636?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/354172,2025-03-06,Albert Heijn
395307,AH Biologisch Tomatenblokjes,"€0,00","€0,75",,https://static.ah.nl/dam/product/AHI_43545239393338343539?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/395307,2025-03-06,Albert Heijn
428787,AH Zoete aardappel oranje los,"€0,00","€2,98",,https://static.ah.nl/dam/product/AHI_434d5034363735393834?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/428787,2025-03-06,Albert Heijn
428792,AH Zoete aardappel paars los,"€0,00","€3,78",,https://static.ah.nl/dam/product/AHI_434d5034363735393830?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/428792,2025-03-06,Albert Heijn
441160,Miras Gekookte kikkererwten (blik),"€0,00","€2,09",,https://static.ah.nl/dam/product/AHI_4354523130313334303634?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/441160,2025-03-06,Albert Heijn
455381,AH Luxe roerbak Hollands,"€0,00","€3,29",,https://static.ah.nl/dam/product/AHI_43545239383936313839?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/455381,2025-03-06,Albert Heijn
